5.3713 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
33.4974 	EXP 	fixation: autoDraw = True
33.4974 	EXP 	grating: autoDraw = True
33.7971 	EXP 	grating: autoDraw = False
34.0839 	DATA 	Keypress: up
34.4967 	EXP 	fixation: autoDraw = False
34.5024 	EXP 	New trial (rep=10, index=0): None
34.5137 	EXP 	fixation: autoDraw = False
34.5137 	EXP 	grating: autoDraw = False
34.5137 	EXP 	grating: ori = 0.0
34.5137 	EXP 	fixation: autoDraw = True
34.5137 	EXP 	grating: autoDraw = True
34.8137 	EXP 	grating: autoDraw = False
35.0834 	DATA 	Keypress: down
35.5133 	EXP 	fixation: autoDraw = False
35.5177 	EXP 	New trial (rep=11, index=0): None
35.5299 	EXP 	fixation: autoDraw = False
35.5299 	EXP 	grating: autoDraw = False
35.5299 	EXP 	grating: ori = 0.0
35.5299 	EXP 	fixation: autoDraw = True
35.5299 	EXP 	grating: autoDraw = True
35.8299 	EXP 	grating: autoDraw = False
35.9165 	DATA 	Keypress: up
36.5299 	EXP 	fixation: autoDraw = False
36.5342 	EXP 	New trial (rep=12, index=0): None
36.5464 	EXP 	fixation: autoDraw = False
36.5464 	EXP 	grating: autoDraw = False
36.5464 	EXP 	grating: ori = 4.0
36.5464 	EXP 	fixation: autoDraw = True
36.5464 	EXP 	grating: autoDraw = True
36.8470 	EXP 	grating: autoDraw = False
36.9332 	DATA 	Keypress: down
37.5469 	EXP 	fixation: autoDraw = False
37.5519 	EXP 	New trial (rep=13, index=0): None
37.5636 	EXP 	fixation: autoDraw = False
37.5636 	EXP 	grating: autoDraw = False
37.5636 	EXP 	grating: ori = 0.0
37.5636 	EXP 	fixation: autoDraw = True
37.5636 	EXP 	grating: autoDraw = True
37.8631 	EXP 	grating: autoDraw = False
37.8998 	DATA 	Keypress: up
38.5632 	EXP 	fixation: autoDraw = False
38.5675 	EXP 	New trial (rep=14, index=0): None
38.5793 	EXP 	fixation: autoDraw = False
38.5793 	EXP 	grating: autoDraw = False
38.5793 	EXP 	grating: ori = 0.0
38.5793 	EXP 	fixation: autoDraw = True
38.5793 	EXP 	grating: autoDraw = True
38.8797 	EXP 	grating: autoDraw = False
38.8994 	DATA 	Keypress: up
39.5794 	EXP 	fixation: autoDraw = False
39.5838 	EXP 	New trial (rep=15, index=0): None
39.5963 	EXP 	fixation: autoDraw = False
39.5963 	EXP 	grating: autoDraw = False
39.5963 	EXP 	grating: ori = 1.0
39.5963 	EXP 	fixation: autoDraw = True
39.5963 	EXP 	grating: autoDraw = True
39.8961 	EXP 	grating: autoDraw = False
39.9165 	DATA 	Keypress: down
40.5962 	EXP 	fixation: autoDraw = False
40.6012 	EXP 	New trial (rep=16, index=0): None
40.6126 	EXP 	fixation: autoDraw = False
40.6126 	EXP 	grating: autoDraw = False
40.6126 	EXP 	grating: ori = 0.0
40.6126 	EXP 	fixation: autoDraw = True
40.6126 	EXP 	grating: autoDraw = True
40.6999 	DATA 	Keypress: up
40.9128 	EXP 	grating: autoDraw = False
41.4825 	DATA 	Keypress: down
41.6127 	EXP 	fixation: autoDraw = False
41.6182 	EXP 	New trial (rep=17, index=0): None
41.6303 	EXP 	fixation: autoDraw = False
41.6303 	EXP 	grating: autoDraw = False
41.6303 	EXP 	grating: ori = 0.0
41.6303 	EXP 	fixation: autoDraw = True
41.6303 	EXP 	grating: autoDraw = True
41.9460 	EXP 	grating: autoDraw = False
